Home Team,Away Team,Score
Chelsea FC,Arsenal FC,0 - 1
West Ham United FC,Crystal Palace FC,1 - 2
Southampton FC,Newcastle United FC,1 - 4
Aston Villa FC,Manchester United FC,3 - 1
Tottenham Hotspur FC,Liverpool FC,1 - 2
Manchester City FC,Brentford FC,1 - 2
West Ham United FC,Leicester City FC,0 - 2
Tottenham Hotspur FC,Leeds United FC,4 - 3
Nottingham Forest FC,Crystal Palace FC,1 - 0
Liverpool FC,Southampton FC,3 - 1
AFC Bournemouth,Everton FC,3 - 0
Newcastle United FC,Chelsea FC,1 - 0
Wolverhampton Wanderers FC,Arsenal FC,0 - 2
Brighton & Hove Albion FC,Aston Villa FC,1 - 2
Fulham FC,Manchester United FC,1 - 2
Brentford FC,Tottenham Hotspur FC,2 - 2
Southampton FC,Brighton & Hove Albion FC,1 - 3
Leicester City FC,Newcastle United FC,0 - 3
Everton FC,Wolverhampton Wanderers FC,1 - 2
Crystal Palace FC,Fulham FC,0 - 3
Aston Villa FC,Liverpool FC,1 - 3
Arsenal FC,West Ham United FC,3 - 1
Chelsea FC,AFC Bournemouth,2 - 0
Manchester United FC,Nottingham Forest FC,3 - 0
Leeds United FC,Manchester City FC,1 - 3
West Ham United FC,Brentford FC,0 - 2
Liverpool FC,Leicester City FC,2 - 1
Wolverhampton Wanderers FC,Manchester United FC,0 - 1
Newcastle United FC,Leeds United FC,0 - 0
Manchester City FC,Everton FC,1 - 1
Fulham FC,Southampton FC,2 - 1
AFC Bournemouth,Crystal Palace FC,0 - 2
Brighton & Hove Albion FC,Arsenal FC,2 - 4
Tottenham Hotspur FC,Aston Villa FC,0 - 2
Nottingham Forest FC,Chelsea FC,1 - 1
Brentford FC,Liverpool FC,3 - 1
Leicester City FC,Fulham FC,0 - 1
Everton FC,Brighton & Hove Albion FC,1 - 4
Arsenal FC,Newcastle United FC,0 - 0
Manchester United FC,AFC Bournemouth,3 - 0
Southampton FC,Nottingham Forest FC,0 - 1
Leeds United FC,West Ham United FC,2 - 2
Crystal Palace FC,Tottenham Hotspur FC,0 - 4
Aston Villa FC,Wolverhampton Wanderers FC,1 - 1
Chelsea FC,Manchester City FC,0 - 1
Fulham FC,Chelsea FC,2 - 1
Aston Villa FC,Leeds United FC,2 - 1
Manchester United FC,Manchester City FC,2 - 1
Wolverhampton Wanderers FC,West Ham United FC,1 - 0
Nottingham Forest FC,Leicester City FC,2 - 0
Everton FC,Southampton FC,1 - 2
Brighton & Hove Albion FC,Liverpool FC,3 - 0
Brentford FC,AFC Bournemouth,2 - 0
Newcastle United FC,Fulham FC,1 - 0
Chelsea FC,Crystal Palace FC,1 - 0
Tottenham Hotspur FC,Arsenal FC,0 - 2
Crystal Palace FC,Manchester United FC,1 - 1
Manchester City FC,Tottenham Hotspur FC,4 - 2
Liverpool FC,Chelsea FC,0 - 0
